traj #,traj frame,x,y,z,intensity,area,frame1
4120,0,110.0,85.0,16.0,560641.06,181.0,110.0
4121,0,27.0,100.0,23.0,560602.6,181.0,27.0
4122,0,37.0,22.0,7.0,560558.1,181.0,37.0
4123,0,109.0,42.0,28.0,560556.2,181.0,109.0
4124,0,84.0,111.0,15.0,560556.06,181.0,84.0
4125,0,103.0,30.0,15.0,560551.4,181.0,103.0
4126,0,83.0,109.0,34.0,560542.8,181.0,83.0
4127,0,75.0,19.0,36.0,560522.4,181.0,75.0
4128,0,16.0,81.0,22.0,560519.1,181.0,16.0
4129,0,53.0,115.0,26.0,560510.6,181.0,53.0
4130,0,86.0,110.0,26.0,560482.75,181.0,86.0
4131,0,106.0,38.0,36.0,560482.56,181.0,106.0
4132,0,74.0,111.0,6.0,560481.1,181.0,74.0
4133,0,92.0,103.0,5.0,560477.5,181.0,92.0
4134,0,85.0,20.0,6.0,560451.2,181.0,85.0
4135,0,92.0,24.0,6.0,560421.9,181.0,92.0
4136,0,27.0,100.0,14.0,560420.44,181.0,27.0
4137,0,32.0,104.0,16.0,560419.7,181.0,32.0
4138,0,106.0,39.0,5.0,560404.94,181.0,106.0
4139,0,74.0,113.0,32.0,560365.06,181.0,74.0
4140,0,19.0,82.0,27.0,560356.5,181.0,19.0
4141,0,20.0,40.0,26.0,560352.9,181.0,20.0
4142,0,16.0,79.0,30.0,560291.44,181.0,16.0
4143,0,96.0,24.0,16.0,560288.94,181.0,96.0
4144,0,40.0,23.0,36.0,560287.2,181.0,40.0
4145,0,113.0,81.0,24.0,560274.44,181.0,113.0
4146,0,102.0,31.0,32.0,560272.5,181.0,102.0
4147,0,100.0,31.0,9.0,560260.0,181.0,100.0
4148,0,112.0,50.0,31.0,560253.0,181.0,112.0
4149,0,69.0,114.0,17.0,560242.0,181.0,69.0
4150,0,81.0,18.0,4.0,560241.4,181.0,81.0
4151,0,65.0,116.0,26.0,560234.2,181.0,65.0
4152,0,67.0,13.0,18.0,560229.9,181.0,67.0
4153,0,102.0,30.0,24.0,560227.6,181.0,102.0
4154,0,33.0,103.0,23.0,560211.8,181.0,33.0
4155,0,100.0,97.0,31.0,560204.2,181.0,100.0
4156,0,15.0,62.0,33.0,560203.8,181.0,15.0
4157,0,27.0,97.0,33.0,560195.1,181.0,27.0
4158,0,107.0,37.0,24.0,560161.1,181.0,107.0
4159,0,113.0,46.0,19.0,560153.1,181.0,113.0
4160,0,106.0,91.0,9.0,560149.94,181.0,106.0
4161,0,114.0,48.0,27.0,560137.06,181.0,114.0
4162,0,109.0,82.0,4.0,560130.5,181.0,109.0
4163,0,39.0,106.0,33.0,560118.94,181.0,39.0
4164,0,35.0,105.0,11.0,560118.6,181.0,35.0
4165,0,67.0,17.0,4.0,560114.25,181.0,67.0
4166,0,75.0,14.0,31.0,560113.44,181.0,75.0
4167,0,40.0,18.0,7.0,560109.4,181.0,40.0
4168,0,34.0,25.0,10.0,560094.25,181.0,34.0
4169,0,26.0,100.0,20.0,560059.6,181.0,26.0
4170,0,62.0,115.0,17.0,560050.56,181.0,62.0
4171,0,19.0,84.0,9.0,560038.94,181.0,19.0
4172,0,19.0,87.0,18.0,560033.0,181.0,19.0
4173,0,46.0,109.0,4.0,560032.7,181.0,46.0
4174,0,56.0,115.0,20.0,560010.75,181.0,56.0
4175,0,29.0,102.0,27.0,559992.3,181.0,29.0
4176,0,24.0,37.0,36.0,559962.4,181.0,24.0
4177,0,19.0,40.0,20.0,559901.4,181.0,19.0
4178,0,112.0,78.0,32.0,559896.1,181.0,112.0
4179,0,78.0,15.0,6.0,559894.9,181.0,78.0
4180,0,47.0,15.0,21.0,559861.4,181.0,47.0
4181,0,20.0,42.0,10.0,559839.0,181.0,20.0
4182,0,92.0,21.0,11.0,559817.5,181.0,92.0
4183,0,67.0,112.0,37.0,559802.8,181.0,67.0
4184,0,46.0,19.0,7.0,559789.75,181.0,46.0
4185,0,45.0,17.0,10.0,559783.3,181.0,45.0
4186,0,87.0,109.0,13.0,559781.94,181.0,87.0
4187,0,76.0,114.0,16.0,559772.0,181.0,76.0
4188,0,112.0,46.0,16.0,559765.6,181.0,112.0
4189,0,82.0,111.0,27.0,559753.06,181.0,82.0
4190,0,85.0,17.0,15.0,559748.3,181.0,85.0
4191,0,15.0,76.0,25.0,559715.56,181.0,15.0
4192,0,101.0,98.0,7.0,559715.5,181.0,101.0
4193,0,43.0,110.0,13.0,559713.1,181.0,43.0
4194,0,16.0,52.0,5.0,559704.6,181.0,16.0
4195,0,14.0,64.0,23.0,559685.06,181.0,14.0
4196,0,14.0,53.0,26.0,559670.94,181.0,14.0
4197,0,55.0,114.0,35.0,559667.25,181.0,55.0
4198,0,16.0,74.0,9.0,559620.06,181.0,16.0
4199,0,113.0,47.0,22.0,559610.56,181.0,113.0
4200,0,106.0,93.0,26.0,559588.7,181.0,106.0
4201,0,16.0,47.0,28.0,559582.06,181.0,16.0
4202,0,22.0,93.0,19.0,559570.25,181.0,22.0
4203,0,112.0,75.0,6.0,559565.44,181.0,112.0
4204,0,100.0,101.0,12.0,559562.56,181.0,100.0
4205,0,15.0,53.0,11.0,559536.44,181.0,15.0
4206,0,54.0,113.0,7.0,559524.44,181.0,54.0
4207,0,19.0,84.0,6.0,559479.3,181.0,19.0
4208,0,51.0,13.0,25.0,559464.56,181.0,51.0
